year,contest,dem,rep,other,total
2000,president,738227.0,883745.0,119393.0,1741365.0
2004,president,1002425.0,1101256.0,26644.0,2130325.0
2004,us_senate,1081178.0,980738.0,45627.0,2107543.0
2006,attorney_general,651486.0,789010.0,62426.0,1502922.0
2006,governor,887986.0,626256.0,44035.0,1558277.0
2006,secretary_of_state,748532.0,772403.0,0.0,1520935.0
2006,treasurer,770403.0,730718.0,0.0,1501121.0
2008,president,1413161.0,1119351.0,41930.0,2574442.0
2008,us_senate,1348091.0,1034159.0,115558.0,2497808.0
2010,attorney_general,78840.0,40596.0,0.0,119436.0
2010,governor,915436.0,199792.0,677920.0,1793148.0
2010,lt_governor,87878.0,6772.0,30836.0,125486.0
2010,secretary_of_state,832072.0,890933.0,118769.0,1841774.0
2010,treasurer,1001907.0,942553.0,0.0,1944460.0
2010,us_senate,926556.0,854395.0,102863.0,1883814.0
2012,president,2640427.0,2261215.0,122331.0,5023973.0
2012,us_senate,109655.0,42410.0,3848.0,155913.0
2014,attorney_general,910923.0,1043944.0,128961.0,2083828.0
2014,governor,1102998.0,975094.0,105273.0,2183365.0
2014,lt_governor,280.0,635.0,56.0,971.0
2014,secretary_of_state,976034.0,970434.0,159726.0,2106194.0
2014,treasurer,1063489.0,1023504.0,108960.0,2195953.0
2014,us_senate,1045583.0,1025499.0,118791.0,2189873.0
2016,president,2677746.0,2405002.0,477746.0,5560494.0
2016,us_senate,2741420.0,2430636.0,314002.0,5486058.0
2018,attorney_general,3856392.0,3374271.0,941603.0,8172266.0
2018,governor,1348888.0,1080801.0,799369.0,3229058.0
2018,lt_governor,2697776.0,2161602.0,190746.0,5050124.0
2018,secretary_of_state,3941148.0,3341781.0,889668.0,8172597.0
2018,treasurer,3876843.0,3334923.0,1575121.0,8786887.0
2020,president,1804352.0,1364607.0,88021.0,3256980.0
2020,us_senate,1731114.0,1429492.0,75184.0,3235790.0
2022,attorney_general,1349133.0,1060866.0,56329.0,2466328.0
2022,governor,1468481.0,983040.0,57309.0,2508830.0
2022,secretary_of_state,1369040.0,1045582.0,70136.0,2484758.0
2022,state_house,1271525.0,1093148.0,20131.0,2384804.0
2022,state_senate,587511.0,602185.0,7972.0,1197668.0
2022,treasurer,1312705.0,1052337.0,80770.0,2445812.0
2022,us_house,1365427.0,1050960.0,55754.0,2472141.0
2022,us_senate,1397170.0,1031693.0,71338.0,2500201.0
2024,president,1728161.0,1377441.0,87143.0,3192745.0
2024,state_house,1563201.0,1313120.0,36150.0,2912471.0
2024,state_senate,819034.0,594858.0,38226.0,1452118.0
2024,us_house,1667301.0,1306086.0,100004.0,3073391.0
